################################### 
VASPRUN_SOURCE 
################################### 
-------- 
Error parsing:   ['.jupyter', '.ipynb_checkpoints'] 
-------- 
Not converged:   [] 
-------- 
       Entry                        E above hull                   Energy                  energy_per_atom                  Correction                  correction_per_atom   
      La_mp-26_00                  0.0              -19.5417        -4.8854        0.0        0.0
      Na2LaI5_63                  0.0448              -111.8441        -3.4951        -7.58        -0.2369
      NaLa3I10_225                  0.1061              -437.1538        -3.9032        -30.32        -0.2707
      Na3La7I24_174                  0.0403              -133.4436        -3.9248        -9.096        -0.2675
      NaLaI4_174                  0.0623              -66.5407        -3.6967        -4.548        -0.2527
      Na3LaI6_162                  0.0326              -33.7595        -3.376        -2.274        -0.2274
      Na5LaI8_65                  0.0064              -45.5275        -3.252        -3.032        -0.2166
      Na3LaI6_71                  0.1207              -65.7574        -3.2879        -4.548        -0.2274
      NaLa7I12_2                  0.1962              -80.589        -4.0294        -4.548        -0.2274
      NaLaI4_161                  0.0483              -400.7504        -3.7107        -27.288        -0.2527
      LaI2_mp-23194                  0.0              -12.9768        -4.3256        -0.758        -0.2527
      Na2LaI6_189                  0.088              -29.0506        -3.2278        -2.274        -0.2527
      Na3LaI6_5                  0.0159              -203.5562        -3.3926        -13.644        -0.2274
      NaLaI4_143                  0.0573              -66.6293        -3.7016        -4.548        -0.2527
      NaLaI4_141                  0.0958              -87.9148        -3.6631        -6.064        -0.2527
      Na3LaI6_12                  0.0107              -67.9564        -3.3978        -4.548        -0.2274
      NaLaI3_11                  0.1415              -72.14        -3.607        -4.548        -0.2274
      Na3LaI6_14                  0.0323              -67.5241        -3.3762        -4.548        -0.2274
      Na2LaI5_62                  0.0392              -112.0246        -3.5008        -7.58        -0.2369
      NaLaI3_62                  0.1229              -145.0239        -3.6256        -9.096        -0.2274
      NaLaI4_7                  0.0584              -133.2218        -3.7006        -9.096        -0.2527
      Na3La2I9_9                  0.0779              -49.7826        -3.5559        -3.411        -0.2436
      I_mp-23153                  0.0              -6.0932        -1.5233        0.0        0.0
      LaI_mp-22860                  0.0              -17.8935        -4.4734        -0.758        -0.1895
      Na5La3I14_19                  0.0612              -311.3882        -3.5385        -21.224        -0.2412
      NaLaI4_19                  0.0353              -89.3675        -3.7236        -6.064        -0.2527
      Na3La2I9_155                  0.0362              -100.7326        -3.5976        -6.822        -0.2436
      NaLaI4_63                  0.1256              -87.2009        -3.6334        -6.064        -0.2527
      NaLaI4_123                  0.0989              -21.9603        -3.6601        -1.516        -0.2527
      Na3LaI6_225                  0.1932              -128.6134        -3.2153        -9.096        -0.2274
      Na3LaI6_33_1                  0.0571              -134.0556        -3.3514        -9.096        -0.2274
      NaLaI4_15                  0.0261              -89.5879        -3.7328        -6.064        -0.2527
      LaI3_mp-27979                  0.0              -33.576        -4.197        -2.274        -0.2843
      Na3LaI6_163                  0.0146              -67.8792        -3.394        -4.548        -0.2274
      Na3LaI7_216                  0.0648              -39.0731        -3.2561        -2.653        -0.2211
      NaLaI4_13                  0.0311              -44.7339        -3.7278        -3.032        -0.2527
      NaLa3I10_131                  0.2681              -104.7517        -3.7411        -7.58        -0.2707
      NaLa2I7_12                  0.1116              -76.4524        -3.8226        -5.306        -0.2653
      Na3LaI6_9                  0.0532              -134.2124        -3.3553        -9.096        -0.2274
      Na3LaI6_143                  0.0141              -101.8336        -3.3945        -6.822        -0.2274
      Na3La2I9_173                  0.0318              -302.5693        -3.602        -20.466        -0.2436
      Na5La3I14_128                  0.0972              -154.1069        -3.5024        -10.612        -0.2412
      Na5La3I14_33                  0.0568              -311.7764        -3.5429        -21.224        -0.2412
      NaLa2I7_33                  0.043              -155.6464        -3.8912        -10.612        -0.2653
      Na2La3I11_11                  0.0674              -243.2669        -3.801        -16.676        -0.2606
      NaLaI4_1                  0.0584              -66.61        -3.7006        -4.548        -0.2527
      Na3LaI6_165                  0.0172              -203.4803        -3.3913        -13.644        -0.2274
      NaLaI4_62                  0.1553              -86.4886        -3.6037        -6.064        -0.2527
